,HomeTeam,AwayTeam
0,krcgenk,beerschotac
1,svzulte-waregem,sportinglokeren
2,ksvcerclebrugge,rscanderlecht
3,kaagent,raecmons
4,fcvdendereh,standarddeliege
5,kvmechelen,clubbruggekv
6,ksvroeselare,kvkortrijk
7,tubize,royalexcelmouscron
8,kvcwesterlo,sportingcharleroi
9,clubbruggekv,kvkortrijk
10,standarddeliege,sportingcharleroi
11,svzulte-waregem,kaagent
12,sportinglokeren,raecmons
13,fcvdendereh,kvcwesterlo
14,kvmechelen,ksvroeselare
15,royalexcelmouscron,ksvcerclebrugge
16,tubize,krcgenk
17,beerschotac,rscanderlecht
18,rscanderlecht,sportinglokeren
19,raecmons,royalexcelmouscron
20,sportingcharleroi,clubbruggekv
21,ksvcerclebrugge,svzulte-waregem
22,kaagent,fcvdendereh
23,ksvroeselare,tubize
24,kvkortrijk,kvmechelen
25,kvcwesterlo,krcgenk
26,beerschotac,standarddeliege
27,clubbruggekv,rscanderlecht
28,krcgenk,ksvroeselare
29,svzulte-waregem,beerschotac
30,sportinglokeren,standarddeliege
31,fcvdendereh,kvkortrijk
32,kvmechelen,raecmons
33,royalexcelmouscron,sportingcharleroi
34,tubize,ksvcerclebrugge
35,kvcwesterlo,kaagent
36,rscanderlecht,kvcwesterlo
37,standarddeliege,royalexcelmouscron
38,raecmons,clubbruggekv
39,sportingcharleroi,tubize
40,ksvcerclebrugge,kvmechelen
41,kaagent,krcgenk
42,ksvroeselare,fcvdendereh
43,kvkortrijk,svzulte-waregem
44,beerschotac,sportinglokeren
45,clubbruggekv,beerschotac
46,krcgenk,ksvcerclebrugge
47,svzulte-waregem,sportingcharleroi
48,kaagent,ksvroeselare
49,fcvdendereh,rscanderlecht
50,kvmechelen,standarddeliege
51,royalexcelmouscron,sportinglokeren
52,tubize,kvkortrijk
53,kvcwesterlo,raecmons
54,rscanderlecht,tubize
55,standarddeliege,svzulte-waregem
56,raecmons,fcvdendereh
57,sportingcharleroi,kvmechelen
58,ksvcerclebrugge,kaagent
59,sportinglokeren,clubbruggekv
60,ksvroeselare,kvcwesterlo
61,kvkortrijk,krcgenk
62,beerschotac,royalexcelmouscron
63,clubbruggekv,standarddeliege
64,krcgenk,sportingcharleroi
65,svzulte-waregem,royalexcelmouscron
66,kaagent,kvkortrijk
67,fcvdendereh,sportinglokeren
68,kvmechelen,beerschotac
69,ksvroeselare,rscanderlecht
70,tubize,raecmons
71,kvcwesterlo,ksvcerclebrugge
72,rscanderlecht,krcgenk
73,standarddeliege,kaagent
74,raecmons,svzulte-waregem
75,sportingcharleroi,fcvdendereh
76,ksvcerclebrugge,ksvroeselare
77,sportinglokeren,kvmechelen
78,royalexcelmouscron,clubbruggekv
79,kvkortrijk,kvcwesterlo
80,beerschotac,tubize
81,beerschotac,krcgenk
82,sportinglokeren,svzulte-waregem
83,rscanderlecht,ksvcerclebrugge
84,raecmons,kaagent
85,standarddeliege,fcvdendereh
86,clubbruggekv,kvmechelen
87,kvkortrijk,ksvroeselare
88,royalexcelmouscron,tubize
89,sportingcharleroi,kvcwesterlo
90,svzulte-waregem,clubbruggekv
91,kaagent,rscanderlecht
92,kvcwesterlo,standarddeliege
93,krcgenk,raecmons
94,ksvroeselare,sportingcharleroi
95,tubize,sportinglokeren
96,kvmechelen,royalexcelmouscron
97,ksvcerclebrugge,kvkortrijk
98,fcvdendereh,beerschotac
99,clubbruggekv,svzulte-waregem
100,rscanderlecht,kaagent
101,standarddeliege,kvcwesterlo
102,raecmons,krcgenk
103,sportingcharleroi,ksvroeselare
104,sportinglokeren,tubize
105,royalexcelmouscron,kvmechelen
106,kvkortrijk,ksvcerclebrugge
107,beerschotac,fcvdendereh
108,kvkortrijk,rscanderlecht
109,sportinglokeren,krcgenk
110,raecmons,ksvcerclebrugge
111,sportingcharleroi,kaagent
112,royalexcelmouscron,fcvdendereh
113,svzulte-waregem,kvmechelen
114,standarddeliege,ksvroeselare
115,clubbruggekv,tubize
116,beerschotac,kvcwesterlo
117,fcvdendereh,clubbruggekv
118,kvkortrijk,standarddeliege
119,rscanderlecht,raecmons
120,krcgenk,svzulte-waregem
121,ksvcerclebrugge,sportingcharleroi
122,kvcwesterlo,sportinglokeren
123,tubize,kvmechelen
124,kaagent,royalexcelmouscron
125,ksvroeselare,beerschotac
126,sportingcharleroi,rscanderlecht
