,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,HomeTeam,AwayTeam,FTR,id,country_id,league_id,season,stage,match_api_id,home_team_api_id,away_team_api_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
120,56,56,48,57,56,50,50,60,1729,1729,14,839947,8472,8668,2,1,2,2,2,0,0,1,1,0,2,2,1,2,2,1,0,14,6,1,2542,1729,1729,2010/2011,14,839947,8472,8668,32562.0,24209.0,34275.0,24740.0,36786.0,156008.0,24116.0,25150.0,30352.0,113836.0,23949.0,31465.0,30371.0,24216.0,23268.0,24846.0,77690.0,30839.0,24011.0,36012.0,30876.0,30735.0,2012-02-22,sunderland,everton,D,13.0,10.0,8.0,8.0,2.6,3.2,2.8,2,1,2,2
483,61,67,67,69,50,36,34,41,1729,1729,7,1474233,8650,9826,3,1,0,2,5,0,1,0,1,1,1,2,1,2,2,1,0,8,5,2,3982,1729,1729,2013/2014,7,1474233,8650,9826,37868.0,30831.0,22764.0,94043.0,246575.0,156008.0,30618.0,106228.0,37475.0,51553.0,40636.0,22998.0,146830.0,23358.0,23030.0,32087.0,35345.0,148909.0,8985.0,33421.0,25537.0,31953.0,2015-09-10,liverpool,crystalpalace,H,13.0,11.0,7.0,2.0,1.2,7.5,17.0,3,1,0,2
7,46,54,49,72,56,42,41,56,1729,1729,12,658728,8455,10260,0,0,0,0,4,0,1,1,1,0,1,2,1,2,2,1,0,4,10,2,2148,1729,1729,2009/2010,12,658728,8455,10260,30859.0,31306.0,30911.0,30627.0,38834.0,30675.0,30631.0,30686.0,30699.0,30822.0,37804.0,30726.0,24150.0,30362.0,43248.0,32569.0,24148.0,34944.0,40961.0,35327.0,30829.0,24154.0,2014-09-19,chelsea,manchesterunited,H,12.0,21.0,9.0,10.0,2.0,3.25,4.0,0,0,0,0
257,57,66,56,31,72,47,52,49,1729,1729,37,1026125,9879,8472,2,0,2,2,3,0,0,1,1,0,0,1,1,2,2,1,0,7,14,2,3173,1729,1729,2011/2012,37,1026125,9879,8472,30633.0,33045.0,26777.0,23780.0,24130.0,34574.0,30338.0,37259.0,30956.0,41008.0,41244.0,37868.0,36786.0,34275.0,24150.0,23073.0,175947.0,160243.0,25150.0,25075.0,33468.0,242308.0,2013-09-20,fulham,sunderland,H,20.0,12.0,15.0,7.0,1.83,3.6,4.33,2,0,2,2
36,52,49,49,56,59,39,39,57,1729,1729,20,658931,8455,9879,2,1,1,2,3,0,0,1,1,0,2,2,1,2,2,1,0,4,7,2,2234,1729,1729,2009/2010,20,658931,8455,9879,30859.0,30856.0,30911.0,30627.0,40825.0,32345.0,30699.0,30631.0,30630.0,30822.0,31906.0,30633.0,37266.0,23780.0,165823.0,24781.0,34574.0,30338.0,43247.0,30956.0,24737.0,24741.0,2013-09-20,chelsea,fulham,H,18.0,3.0,11.0,3.0,1.36,4.5,10.0,2,1,1,2
246,59,29,32,49,62,42,44,54,1729,1729,32,1025864,9825,8456,2,1,1,1,4,0,1,2,1,2,2,2,1,2,2,1,0,0,9,2,3119,1729,1729,2011/2012,32,1025864,9825,8456,169718.0,26111.0,46539.0,26005.0,78513.0,31435.0,23678.0,24011.0,31013.0,30843.0,24800.0,31432.0,30509.0,39027.0,33086.0,31291.0,36615.0,23782.0,38807.0,26181.0,108808.0,37412.0,2014-09-19,arsenal,manchestercity,H,12.0,7.0,7.0,2.0,2.4,3.4,2.88,2,1,1,1
344,50,35,50,60,70,40,60,40,1729,1729,31,1229431,10252,8650,1,0,1,3,0,0,0,1,1,0,2,1,1,2,2,1,0,1,8,0,3490,1729,1729,2012/2013,31,1229431,10252,8650,69650.0,183715.0,30602.0,139673.0,156007.0,179793.0,182223.0,161415.0,184360.0,148315.0,23264.0,30660.0,34036.0,30617.0,25984.0,37475.0,30618.0,95327.0,156008.0,30892.0,40636.0,184536.0,2010-02-22,astonvilla,liverpool,A,10.0,16.0,7.0,12.0,5.0,4.0,1.75,1,0,1,3
433,53,54,69,48,52,48,43,33,1729,1729,26,1474975,8668,9826,3,1,1,0,1,0,0,1,1,1,2,2,1,2,2,0,0,6,5,0,3815,1729,1729,2013/2014,26,1474975,8668,9826,31465.0,77690.0,263653.0,24216.0,24846.0,215384.0,23782.0,26151.0,32448.0,251925.0,181276.0,22998.0,23358.0,23030.0,23837.0,146830.0,8985.0,22929.0,35345.0,25537.0,160194.0,31953.0,2011-02-22,everton,crystalpalace,A,17.0,7.0,5.0,4.0,1.4,4.75,10.0,3,1,1,0
222,60,50,40,45,60,55,55,50,1729,1729,2,1024285,9825,8650,2,2,2,0,1,0,0,1,1,0,2,2,1,2,2,1,0,0,8,0,2979,1729,1729,2011/2012,2,1024285,9825,8650,169718.0,26111.0,46539.0,26005.0,214685.0,75489.0,159596.0,31013.0,26181.0,3520.0,30843.0,30660.0,154271.0,30617.0,25984.0,37475.0,95327.0,37139.0,156008.0,39109.0,30892.0,47382.0,2011-02-22,arsenal,liverpool,A,10.0,13.0,6.0,8.0,2.5,3.25,2.9,2,2,2,0
369,46,54,49,72,56,42,41,56,1729,1729,5,1228368,8650,10260,1,4,3,1,4,0,1,1,1,0,1,2,1,2,2,1,0,8,10,0,3580,1729,1729,2012/2013,5,1228368,8650,10260,30660.0,154271.0,22764.0,25984.0,34036.0,47558.0,127130.0,30618.0,184822.0,40636.0,246575.0,26818.0,38994.0,30620.0,43248.0,32569.0,34944.0,24154.0,35327.0,144993.0,40945.0,30843.0,2014-09-19,liverpool,manchesterunited,A,13.0,8.0,8.0,4.0,2.7,3.3,2.63,1,4,3,1
88,70,45,45,70,65,40,50,40,1729,1729,37,659181,8472,10260,1,2,3,1,0,1,0,1,1,0,1,2,0,2,2,1,0,14,10,0,2411,1729,1729,2009/2010,37,659181,8472,10260,32562.0,36786.0,34275.0,30885.0,30352.0,156008.0,131583.0,26171.0,38802.0,24157.0,23949.0,30726.0,24150.0,43248.0,30865.0,32569.0,40945.0,30373.0,24148.0,24154.0,27430.0,30829.0,2010-02-22,sunderland,manchesterunited,A,10.0,14.0,2.0,9.0,9.5,4.75,1.36,1,2,3,1
250,48,45,38,62,54,38,38,62,1729,1729,34,1025964,8650,9879,1,0,3,2,2,0,0,1,1,0,2,2,1,2,2,1,0,8,7,0,3142,1729,1729,2011/2012,34,1025964,8650,9879,39351.0,154271.0,165526.0,22764.0,34222.0,156008.0,127130.0,95331.0,33632.0,47382.0,37139.0,30633.0,33045.0,26777.0,23780.0,24130.0,34574.0,30338.0,41008.0,282274.0,30956.0,41244.0,2012-02-22,liverpool,fulham,A,18.0,7.0,5.0,4.0,1.62,4.0,5.5,1,0,3,2
456,63,54,60,48,38,35,44,54,1729,1729,32,1475043,10260,10252,0,1,2,1,5,0,1,1,1,0,2,2,1,2,2,1,0,10,1,2,3883,1729,1729,2013/2014,32,1475043,10260,10252,182917.0,38994.0,30865.0,186137.0,118434.0,24148.0,23354.0,41468.0,39618.0,144993.0,30829.0,69650.0,30602.0,161414.0,46010.0,183500.0,182223.0,78324.0,139671.0,184360.0,23264.0,148315.0,2015-09-10,manchesterunited,astonvilla,H,9.0,10.0,6.0,1.0,1.45,4.75,8.0,0,1,2,1
294,70,70,70,70,70,70,60,70,1729,1729,16,1229268,8466,9798,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,0,13,12,2,3324,1729,1729,2012/2013,16,1229268,8466,9798,35496.0,157838.0,26552.0,72665.0,362694.0,46893.0,46008.0,35345.0,109491.0,37234.0,39225.0,38617.0,145002.0,23358.0,117545.0,23282.0,113005.0,34194.0,35556.0,24754.0,24952.0,34176.0,2010-02-22,southampton,reading,H,18.0,6.0,9.0,2.0,1.91,3.6,4.0,0,0,0,0
100,70,60,55,70,70,45,55,45,1729,1729,6,658623,10260,8456,4,3,0,2,0,1,0,1,1,0,1,1,1,2,2,1,0,10,9,2,2449,1729,1729,2009/2010,6,658623,10260,8456,24147.0,24150.0,30620.0,30865.0,32569.0,30802.0,24148.0,40961.0,24154.0,27430.0,30829.0,24224.0,24208.0,30831.0,33086.0,30635.0,30367.0,23782.0,30598.0,24213.0,33781.0,38817.0,2010-02-22,manchesterunited,manchestercity,H,21.0,10.0,11.0,6.0,1.57,4.0,6.0,4,3,0,2
