,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
0,-6,35,30,25,10,10,30,-10,0,0,0,-1,1,-2,-1,0,1,2,-1,0,0,1,6
1,7,1,-9,6,-1,10,12,5,0,0,-1,0,0,0,0,0,0,2,2,0,0,0,1
2,28,1,-15,-10,6,-3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3,10,-10,-15,0,20,5,20,5,0,1,0,1,0,-1,0,-1,0,0,0,0,0,2,2
4,-10,5,5,10,-20,-10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
5,-11,-2,4,-3,0,7,0,8,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1
6,-18,-21,-17,-15,-10,-6,-6,-4,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,3
7,21,-16,-8,-11,12,-3,0,-10,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,0
8,-16,21,31,6,9,-4,1,-3,0,0,0,-1,0,-2,0,0,1,0,0,0,0,1,0
9,0,6,5,0,20,35,0,40,0,0,0,0,0,1,0,-1,1,2,0,2,0,1,1
10,-10,-10,-30,-20,-15,-10,-10,0,0,-1,0,0,0,-1,0,1,1,0,0,0,0,2,2
11,-10,-2,-2,3,-1,-10,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
12,22,24,-6,-21,19,0,2,-12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
13,-10,10,5,18,-13,1,10,-2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2
14,-8,-6,-13,10,2,12,3,6,0,-1,0,1,0,2,0,0,-1,0,0,0,0,0,3
15,0,5,0,0,-15,-25,0,-30,0,0,0,-1,0,0,0,1,0,0,0,-1,0,2,0
16,10,10,10,5,-5,30,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1
17,-19,-17,-6,-10,-5,-9,-15,2,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0
18,-17,-21,-6,13,3,10,8,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
19,1,4,7,-3,5,2,-2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,7,15,6,-10,0,0,8,9,0,0,0,-1,0,-2,0,0,1,0,0,0,0,1,2
21,10,-5,-4,0,25,-10,-10,-5,0,1,0,0,-1,0,0,-1,-1,-2,1,0,0,3,3
22,-14,-3,4,13,15,-21,21,16,0,0,0,0,0,0,-1,0,0,-2,0,0,0,1,1
23,0,4,0,12,3,4,3,8,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2
24,24,26,15,4,9,-16,-4,6,0,-2,0,-1,0,0,0,0,1,0,0,0,0,1,1
25,8,-19,-8,14,15,0,1,2,0,1,1,0,0,0,0,-1,0,0,0,0,0,2,1
26,-7,12,15,13,7,-12,-12,-17,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0
27,10,-10,-15,0,15,10,-15,10,0,1,0,1,0,-1,0,-1,0,0,1,0,0,4,3
28,-15,15,-20,-10,-30,0,-10,-15,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0
29,11,6,-4,15,3,-3,3,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,1
30,-33,-30,-11,0,5,25,13,-2,0,2,0,1,0,0,0,0,-1,0,0,0,0,3,0
31,-7,23,15,-17,-10,2,-3,7,0,-1,-1,0,0,0,0,1,0,0,0,0,0,1,3
32,16,23,23,13,7,9,9,2,0,0,-1,-1,0,1,0,0,0,0,0,0,0,1,0
33,10,-5,-5,0,25,5,-15,5,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,2
34,-39,8,8,21,-14,-14,4,3,0,-1,0,0,1,0,0,0,1,0,0,0,0,1,4
35,8,12,-8,-1,8,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
36,-6,-8,-3,5,4,3,4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
37,-5,40,29,7,-5,-12,-6,-10,0,-1,-1,-2,0,0,0,0,0,0,0,0,0,0,1
38,-7,-9,-10,7,6,-10,-10,-5,0,0,1,0,0,0,0,0,0,-2,-2,0,0,1,0
39,6,-35,-30,-25,-10,-10,-30,10,0,0,0,1,-1,2,1,0,-1,-2,1,0,0,2,2
40,29,-12,16,-3,15,21,-11,-1,0,0,0,0,0,0,1,-1,-1,2,0,0,0,3,0
41,11,1,8,19,8,0,-10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
42,-11,-25,-10,30,-9,-5,-9,-3,0,0,0,0,0,0,2,1,0,0,0,0,0,7,2
43,1,-19,-17,15,-10,11,20,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
44,4,24,32,4,-8,-16,0,2,0,0,0,-1,0,-2,0,0,1,0,0,0,0,0,0
45,0,-10,-15,0,15,5,-15,5,0,0,0,1,0,-1,0,-1,0,0,1,0,0,2,0
46,-15,5,0,0,-10,10,-10,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,-12,-1,1,13,3,-8,-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
48,-16,-9,-5,-13,2,15,5,-4,0,2,0,1,0,0,1,0,-1,0,0,0,0,1,3
49,-13,-3,0,25,3,3,1,12,0,0,1,0,0,0,-1,0,0,0,0,0,0,5,0
50,8,6,13,-10,-2,-12,-3,-6,0,1,0,-1,0,-2,0,0,1,0,0,0,0,2,0
