,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
0,10.0,10.0,5.0,-5.0,10.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1,-8.0,-1.0,5.0,2.0,-30.0,-1.0,6.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,-8.0,-8.0,5.0,-5.0,6.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,-12.0,0.0,-1.0,-8.0,3.0,-8.0,10.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,-8.0,-3.0,9.0,5.0,-16.0,9.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-15.0,-20.0,-5.0,0.0,-5.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,4.0,1.0
6,21.0,30.0,19.0,33.0,10.0,10.0,-11.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0
7,4.0,4.0,-8.0,-14.0,3.0,-4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,17.0,2.0,-24.0,-17.0,4.0,-1.0,7.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0,14.0,-6.0,-11.0,2.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
10,-15.0,-11.0,37.0,17.0,-3.0,15.0,-9.0,13.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
11,18.0,8.0,6.0,-7.0,1.0,-12.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
12,-20.0,-25.0,10.0,5.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
13,-10.0,7.0,-10.0,14.0,-20.0,4.0,-15.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-15.0,5.0,-25.0,0.0,-15.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0
15,-1.0,-4.0,0.0,6.0,1.0,-1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
16,13.0,-10.0,-24.0,-8.0,-10.0,0.0,-8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,2.0,3.0,4.0,-6.0,-15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
18,-17.0,-7.0,23.0,18.0,13.0,12.0,-11.0,22.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
